1996-04-29|'COLLECT COD'|'O'|'uickly regular pinto bean'|0.03|4233|2|'FOB'|'N'|114499|49.0|133|55724.27|0.05|1996-03-17|1996-05-12
1996-02-10|'TAKE BACK RETURN'|'O'|'e quickly pending packages? acco'|0.07|9419|3|'MAIL'|'N'|114499|38.0|349|50479.58|0.02|1996-02-18|1996-02-20
1996-04-11|'TAKE BACK RETURN'|'O'|'uriously daring packages nag pinto'|0.01|3572|4|'FOB'|'N'|114499|2.0|73|2951.14|0.05|1996-03-08|1996-04-24
1995-06-11|'DELIVER IN PERSON'|'F'|'re. final, final theodolites haggle careful'|0.03|4704|1|'TRUCK'|'N'|114500|41.0|107|65956.7|0.01|1995-06-11|1995-06-19
1995-08-02|'TAKE BACK RETURN'|'O'|'s. finally bold pinto beans alongs'|0.01|6702|2|'AIR'|'N'|114500|1.0|479|1608.7|0.06|1995-05-23|1995-08-10
1995-06-17|'NONE'|'F'|'thinly ironic pinto beans wake alway'|0.03|8814|3|'TRUCK'|'N'|114500|33.0|241|56852.73|0.02|1995-07-11|1995-07-01
1995-08-14|'COLLECT COD'|'O'|'ously after the special,'|0.06|5872|4|'SHIP'|'N'|114500|40.0|281|71114.8|0.07|1995-07-08|1995-09-09
1995-07-21|'TAKE BACK RETURN'|'O'|' slyly across the s'|0.02|5001|5|'MAIL'|'N'|114500|47.0|2|42582.0|0.0|1995-07-04|1995-07-30
1995-06-12|'COLLECT COD'|'F'|'n requests.'|0.05|6929|6|'SHIP'|'R'|114500|10.0|344|18359.2|0.07|1995-07-04|1995-06-14
1996-06-17|'DELIVER IN PERSON'|'O'|'theodolites above the'|0.08|2150|1|'REG AIR'|'N'|114501|38.0|409|39981.7|0.06|1996-07-19|1996-07-01
1996-05-09|'DELIVER IN PERSON'|'O'|' accounts cajole furiously. bold pac'|0.02|754|2|'MAIL'|'N'|114501|5.0|381|8273.75|0.06|1996-06-25|1996-05-22
1995-11-10|'COLLECT COD'|'O'|'tructions. carefully unusual ac'|0.07|1269|1|'MAIL'|'N'|114502|17.0|270|19894.42|0.08|1995-09-13|1995-12-04
1995-09-04|'DELIVER IN PERSON'|'O'|'he regular, regular reques'|0.1|7655|2|'RAIL'|'N'|114502|6.0|436|9375.9|0.0|1995-10-06|1995-09-20
1995-08-28|'TAKE BACK RETURN'|'O'|'y according to the express, final pa'|0.02|5821|3|'MAIL'|'N'|114502|2.0|230|3453.64|0.05|1995-09-09|1995-08-30
1995-10-04|'TAKE BACK RETURN'|'O'|'ckey players are '|0.08|2468|4|'FOB'|'N'|114502|38.0|356|52077.48|0.02|1995-09-25|1995-10-20
1993-09-15|'COLLECT COD'|'F'|'ly unusual requests. unusual packages c'|0.02|6007|1|'REG AIR'|'A'|114503|22.0|8|20086.0|0.03|1993-08-17|1993-10-09
1993-04-24|'DELIVER IN PERSON'|'F'|'ent dependenc'|0.07|2683|1|'FOB'|'R'|114528|1.0|184|1585.68|0.03|1993-04-30|1993-04-26
