1996-04-14|'COLLECT COD'|'O'|'al accounts. depos'|0.06|4400|2|'MAIL'|'N'|119429|21.0|300|27392.4|0.03|1996-04-27|1996-04-20
1996-02-09|'TAKE BACK RETURN'|'O'|' foxes lose alongside'|0.1|3184|3|'AIR'|'N'|119429|37.0|447|40225.66|0.06|1996-04-16|1996-03-03
1996-05-27|'TAKE BACK RETURN'|'O'|'ly final platelets nag'|0.1|9500|4|'SHIP'|'N'|119429|32.0|430|45104.0|0.03|1996-04-21|1996-06-11
1996-04-13|'TAKE BACK RETURN'|'O'|'ess blithely against the blithely special d'|0.09|5851|5|'FOB'|'N'|119429|50.0|260|87842.5|0.02|1996-03-23|1996-04-30
1996-03-23|'COLLECT COD'|'O'|' bold theodolites. furiously e'|0.06|4600|6|'MAIL'|'N'|119429|18.0|101|27082.8|0.05|1996-03-29|1996-03-31
1996-02-09|'TAKE BACK RETURN'|'O'|'nstructions according to the f'|0.0|8647|7|'MAIL'|'N'|119429|29.0|148|45113.56|0.04|1996-04-24|1996-03-07
1992-09-29|'COLLECT COD'|'F'|'nts. quickly bold'|0.08|9852|1|'TRUCK'|'R'|119430|45.0|141|79283.25|0.0|1992-09-16|1992-10-23
1992-11-01|'COLLECT COD'|'F'|'s alongside of the slyly regular'|0.03|8519|2|'SHIP'|'R'|119430|42.0|304|59955.42|0.04|1992-09-03|1992-11-21
1996-09-01|'DELIVER IN PERSON'|'O'|'e furiously pending pin'|0.1|7056|1|'SHIP'|'N'|119431|29.0|196|27928.45|0.02|1996-09-16|1996-09-08
1996-09-13|'COLLECT COD'|'O'|'inal instructions try '|0.01|8296|2|'SHIP'|'N'|119431|10.0|79|12042.9|0.04|1996-09-04|1996-10-10
1992-04-29|'COLLECT COD'|'F'|'oxes. express ac'|0.03|144|1|'RAIL'|'R'|119456|20.0|270|20882.8|0.01|1992-03-18|1992-04-30
1992-02-23|'TAKE BACK RETURN'|'F'|'inal foxes-- fur'|0.03|4662|2|'REG AIR'|'A'|119456|34.0|431|53266.44|0.05|1992-03-23|1992-03-13
1992-03-06|'TAKE BACK RETURN'|'F'|'ithes doze'|0.04|7991|3|'FOB'|'R'|119456|44.0|132|83555.56|0.04|1992-03-29|1992-03-24
