4|'Clerk#000000186'|304788.63|'5-LOW'|'odolites. blithely bold theodolites acc'|139072|'O'|1997-09-02|0
4|'Clerk#000000474'|178827.52|'5-LOW'|'ns doze. carefully slow theodolites against the quickly even requests caj'|146884|'O'|1997-12-24|0
5|'Clerk#000000534'|228056.87|'5-LOW'|' foxes. ideas shall have to sleep. furiously regula'|152289|'O'|1997-09-20|0
7|'Clerk#000000383'|128605.81|'2-HIGH'|'ajole across the special deposits-- fluffily brave packages are furious'|153857|'O'|1997-06-04|0
7|'Clerk#000000503'|49341.86|'4-NOT SPECIFIED'|'ly along the slyly final accounts. regular orbits kindle blithely pinto bea'|206401|'O'|1997-06-26|0
10|'Clerk#000000295'|201931.71|'1-URGENT'|'accounts. busily ir'|236545|'O'|1997-12-08|0
11|'Clerk#000000832'|162442.98|'2-HIGH'|'fluffily bold deposits wake furio'|226432|'O'|1997-10-19|0
16|'Clerk#000000566'|145298.62|'5-LOW'|'bove the bold packages integrate carefully final'|174340|'O'|1997-11-14|0
19|'Clerk#000000064'|233098.96|'5-LOW'|'th the unusual ideas haggle finally above the silent, sp'|138759|'O'|1997-05-06|0
19|'Clerk#000000906'|45905.83|'2-HIGH'|'f the ironically regular ideas. special ideas cajole slyly among the carefully'|160644|'O'|1997-08-04|0
19|'Clerk#000000818'|114297.89|'4-NOT SPECIFIED'|'unts cajole furiously around the deposits. daringly final instructions integra'|202820|'O'|1997-02-17|0
22|'Clerk#000000260'|144605.67|'4-NOT SPECIFIED'|'lphins haggle carefully. fluffily final requests integrate after the foxes; '|200034|'O'|1997-02-10|0
22|'Clerk#000000706'|49057.45|'5-LOW'|' the even deposits wake quickly accord'|209408|'O'|1997-05-20|0
22|'Clerk#000000223'|122916.59|'4-NOT SPECIFIED'|'ing to the bravely special deposits. pending pack'|225506|'O'|1997-09-28|0
23|'Clerk#000000251'|212750.66|'3-MEDIUM'|'ickly regular ideas. ironic, even accounts sleep blithely according to the fur'|238016|'O'|1997-08-07|0
23|'Clerk#000000671'|178419.3|'5-LOW'|'ing deposits sleep carefully. pending ideas cajole ruthlessly specia'|248737|'O'|1997-12-20|0
25|'Clerk#000000349'|248489.09|'4-NOT SPECIFIED'|' final, sly requests dazzle '|232228|'O'|1997-05-16|0
34|'Clerk#000000030'|200036.92|'1-URGENT'|'ckages affix quickly ironically even theodolites. regular i'|179234|'O'|1997-03-01|0
35|'Clerk#000000127'|80983.23|'5-LOW'|'ges are blithely quickly express instructio'|232518|'O'|1997-08-06|0
38|'Clerk#000000727'|153326.19|'3-MEDIUM'|'es affix carefully pend'|259298|'O'|1997-02-20|0
40|'Clerk#000000434'|140723.0|'3-MEDIUM'|'o the furiously even requests. furiously'|170406|'O'|1997-04-23|0
41|'Clerk#000000192'|148299.78|'5-LOW'|' unusual packages. express multipliers cajole slyly attainments? furiously s'|135078|'O'|1997-04-02|0
41|'Clerk#000000395'|44837.15|'4-NOT SPECIFIED'|'e across the special deposits. carefully '|177441|'O'|1997-01-25|0
43|'Clerk#000000310'|122155.23|'3-MEDIUM'|' accounts against the slyly express requests nag slyly among the pending dep'|203974|'O'|1997-01-22|0
43|'Clerk#000000167'|160334.3|'5-LOW'|'bove the accounts. carefully pending excuses are blithely ir'|208263|'O'|1997-03-24|0
43|'Clerk#000000363'|199382.17|'2-HIGH'|'bold requests. ironic excuses haggle slyly ac'|247715|'O'|1997-06-16|0
46|'Clerk#000000597'|186073.92|'3-MEDIUM'|'rding to the furiously quick deposits mold slyly regular ideas. slowly f'|157153|'O'|1997-04-29|0
46|'Clerk#000000540'|18722.37|'5-LOW'|'ar accounts! regular, final deposits sublate careful'|176741|'O'|1997-11-04|0
46|'Clerk#000000430'|14566.79|'3-MEDIUM'|'deposits cajole final foxes. pinto beans should have to ca'|245281|'O'|1997-10-24|0
47|'Clerk#000000496'|30306.78|'1-URGENT'|'eposits boost across the fluffily ironic instru'|145024|'O'|1997-10-27|0
49|'Clerk#000000687'|223234.47|'5-LOW'|'ajole furiously about the slyly pending ideas: '|172675|'O'|1997-11-01|0
49|'Clerk#000000325'|394512.95|'2-HIGH'|'oss the ironic accounts. furiously enticing instructions play quick'|260229|'O'|1997-09-15|0
50|'Clerk#000000149'|34308.46|'2-HIGH'|'ress instructions. final epitaphs nag carefully'|211621|'O'|1997-06-11|0
50|'Clerk#000000507'|112323.24|'5-LOW'|'ular instructions cajol'|216774|'O'|1997-12-13|0
52|'Clerk#000000327'|110927.27|'2-HIGH'|' are daringly. waters detect carefully about the ironic '|182054|'O'|1997-02-28|0
52|'Clerk#000000654'|60147.34|'5-LOW'|'ously even dependencies are slyly ruthlessly even pinto bean'|220934|'O'|1997-08-10|0
52|'Clerk#000000851'|149435.27|'1-URGENT'|'ven theodolites. doggedly pending requests integr'|221831|'O'|1997-11-01|0
